,text,verb1,verb2,verb3,verb4,verb5,verb6,time_exp1,time_exp2,time_exp3,time_exp4,time_exp5,tense
32,I have driven in snow many times.,"verb, non-3rd person singular present","verb, past participle",,,,,times,,,,,present perfect
33,It will have snowed 6 inches by the end of the day.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,day,,,,future perfect
34,It had been snowing for two days before it stopped.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,days,before,,,past perfect progressive
35,It has been snowing all month long.,"verb, 3rd person singular present","verb, past participle","verb, gerund or present participle",,,,month,,,,,present perfect progressive
36,It will have been snowing for three days by the time it stops.,"verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle","verb, 3rd person singular present",,for,days,by,time,,future perfect progressive
37,I left home three years ago.,"verb, past tense",,,,,,ago,,,,,past simple
38,Most kids like milk.,,,,,,,,,,,,present simple
39,I do not like milk unless it’s chocolate.,"verb, non-3rd person singular present","verb, base form",,,,,,,,,,present simple
40,Do you like milk?,"verb, non-3rd person singular present",,,,,,,,,,,present simple
41,When do we board the train for Paris?,"verb, non-3rd person singular present","verb, base form",,,,,for,,,,,present simple
42,"You like scuba diving, don’t you?","verb, non-3rd person singular present","verb, non-3rd person singular present",,,,,,,,,,present simple
43,You are learning to use perfect English.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form",,,,,,,,,present progressive
44,You are not sleeping now.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,now,,,,,present progressive
45,Are you eating?,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
46,What are you watching?,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
47,"You aren’t eating liverwurst, are you?","verb, non-3rd person singular present","verb, gerund or present participle","verb, non-3rd person singular present",,,,,,,,,present progressive
48,I visited my grandmother yesterday.,"verb, past tense",,,,,,yesterday,,,,,past simple
49,We didn’t watch the movie on Saturday.,"verb, past tense","verb, base form",,,,,,,,,,past simple
50,Did you have spaghetti for dinner last night?,"verb, past tense","verb, base form",,,,,for,last,,,,past simple
51,Why didn’t you wash the car yesterday?,"verb, past tense","verb, non-3rd person singular present",,,,,yesterday,,,,,past simple
52,"You went to Paris last year, didn’t you?","verb, past tense","verb, past tense",,,,,last,year,,,,past simple
53,We were watching TV when the power went out.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
54,You were not listening to the teacher’s instructions yesterday.,"verb, past tense","verb, gerund or present participle",,,,,yesterday,,,,,past progressive
55,Were you skateboarding when you broke your leg?,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
56,What were you doing when you heard the news?,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
57,We are going to the movies tonight.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,future simple
58,You will help your grandmother later.,"verb, modal auxiliary","verb, base form",,,,,,,,,,future simple
59,They have been to Paris.,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
60,You haven’t gone overseas.,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
61,Have you been to London?,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
62,Why are we here?,"verb, non-3rd person singular present",,,,,,,,,,,present perfect
63,"You haven’t been to Zurich, have you?","verb, non-3rd person singular present","verb, past participle","verb, non-3rd person singular present",,,,,,,,,present perfect
64,They have been swimming for more than an hour.,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,,for,,,,,present perfect progressive
65,You haven’t waited thirty minutes yet.,"verb, non-3rd person singular present","verb, past tense",,,,,yet,,,,,present perfect progressive
66,Have you been waiting long?,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle",,,,,,,,,present perfect progressive
67,What time did you begin waiting?,"verb, past tense","verb, base form","verb, gerund or present participle",,,,time,,,,,present perfect progressive
68,"You haven’t been waiting long, have you?","verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle","verb, non-3rd person singular present",,,,,,,,present perfect progressive
69,He had studied French in Paris.,"verb, past tense","verb, past participle",,,,,,,,,,past perfect
70,She hadn’t studied French before last semester.,"verb, past tense","verb, past participle",,,,,before,last,,,,past perfect
71,We had not been waiting for more than thirty minutes when her plane landed.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
72,We had been waiting for more than three hours when the train finally arrived.,"verb, past tense","verb, past participle","verb, gerund or present participle","verb, past tense",,,for,when,,,,past perfect progressive
73,Had you been waiting for longer than three hours?,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,,,,,past perfect progressive
74,Why had you been waiting for the last two hours?,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,last,,,,past perfect progressive
75,We will be waiting for him when his plan arrives tonight.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle","verb, 3rd person singular present",,,for,when,,,,future progressive
76,She will see you tomorrow.,"verb, modal auxiliary","verb, base form",,,,,tomorrow,,,,,future simple
77,I'm watching you.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
78,Who said that?,"verb, past tense",,,,,,,,,,,past simple
79,I am starting to work.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form",,,,,,,,,present progressive
80,I have started,"verb, non-3rd person singular present","verb, past participle",,,,,,,,,,present perfect
81,I was working in the garage.,"verb, past tense","verb, gerund or present participle",,,,,,,,,,past progressive
82,I had been working all day.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,day,,,,,past perfect progressive
83,I have worked with children before.,"verb, non-3rd person singular present","verb, past participle",,,,,before,,,,,present perfect
84,After I had worked with fake for a few weeks.,"verb, past tense","verb, past participle",,,,,for,few,,,,past perfect
85,I will have worked 10 hours by suppertime.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,,,,,future perfect
86,I've been working all day.,"verb, base form","verb, past participle","verb, gerund or present participle",,,,day,,,,,present perfect progressive
87,They are walking home.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
88,Peter lived in China in 1965.,"verb, past tense",,,,,,,,,,,past simple
89,I was reading when she arrived home.,"verb, past tense","verb, gerund or present participle","verb, past tense",,,,when,,,,,past progressive
90,I have lived here since 1987.,"verb, non-3rd person singular present","verb, past participle",,,,,since,,,,,present perfect
91,We had been to see her several times before,"verb, past tense","verb, past participle","verb, base form",,,,times,before,,,,past perfect
92,He had been watching her for some time.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,time,,,,past perfect progressive
93,We will have arrived in the States.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,future perfect
94,"By the end of your course, you will have been studying for five years.","verb, modal auxiliary","verb, base form","verb, past participle","verb, gerund or present participle",,,for,,,,,future perfect progressive
95,They will go to Italy next week.,"verb, modal auxiliary","verb, base form",,,,,next,week,,,,future simple
96,I will be travelling by train.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,by,,,,,future progressive
97,I read nearly every day.,"verb, past tense",,,,,,every,day,,,,present simple
98,"Last night, I read an entire novel.","verb, past tense",,,,,,,,,,,past simple
99,I will read as much as I can this year.,"verb, modal auxiliary","verb, base form","verb, modal auxiliary",,,,as,as,this,year,,future simple
100,I am reading Shakespeare at the moment.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,moment,,,,,present progressive
101,I was reading Edgar Allan Poe last night.,"verb, past tense","verb, gerund or present participle",,,,,last,,,,,past progressive
102,I will be reading Nathaniel Hawthorne soon.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,soon,,,,,future progressive
103,I have read so many books I can’t keep count.,"verb, non-3rd person singular present","verb, past participle","verb, base form",,,,so,,,,,present perfect
104,I had read at least 100 books at the end of this year.,"verb, past tense","verb, past participle",,,,,this,year,,,,past perfect
105,I will have read at least 500 books by the end of the year.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,by,year,,,,future perfect
106,I have been reading since I was four years old.,"verb, non-3rd person singular present","verb, past participle","verb, gerund or present participle","verb, past tense",,,since,,,,,present perfect progressive
107,I had been reading for at least a year.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,for,year,,,,past perfect progressive
108,Bill was studying for a test Friday.,"verb, past tense","verb, gerund or present participle",,,,,for,,,,,past progressive
109,Mom and I are hurrying.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
110,I will be leaving at 10.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future progressive
111,Joe had hoped to go to Harvard.,"verb, past tense","verb, past participle","verb, base form",,,,,,,,,past perfect
112,He went to MIT instead.,"verb, past tense",,,,,,,,,,,past simple
113,Ellen has always worked hard.,"verb, 3rd person singular present","verb, past participle",,,,,always,,,,,present perfect
114,She will have studied medicine for over ten years.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,for,,,,,future perfect
115,Yesterday Mark got up early.,"verb, past tense",,,,,,,,,,,past simple
116,He ate breakfast.,"verb, past tense",,,,,,,,,,,past simple
117,He took the bus to work.,"verb, past tense","verb, base form",,,,,,,,,,past simple
118,He worked all day.,"verb, past tense",,,,,,day,,,,,past simple
119,He came home.,"verb, past tense",,,,,,,,,,,past simple
120,He ate dinner.,"verb, past tense",,,,,,,,,,,past simple
121,He listened to some music.,"verb, past tense",,,,,,,,,,,past simple
122,He went to bed.,"verb, past tense",,,,,,,,,,,past simple
123,Mark was still thinking about the day's events.,"verb, past tense","verb, gerund or present participle",,,,,day,,,,,past progressive
124,this morning he was getting ready for bed.,"verb, past tense","verb, gerund or present participle",,,,,this,for,,,,past progressive
125,He used to go to bed late.,"verb, past tense","verb, base form",,,,,,,,,,past simple
126,Beth used to call every evening before supper.,"verb, past tense","verb, base form",,,,,every,before,,,,past simple
127,Mark had not been worrying.,"verb, past tense","verb, past participle","verb, gerund or present participle",,,,,,,,,past perfect
128,he had been too tired to even notice.,"verb, past tense","verb, past participle","verb, base form",,,,,,,,,past perfect
129,she had not called.,"verb, past tense","verb, past participle",,,,,,,,,,past perfect
130,You should have just sent a text message.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,just,,,,,past perfect
131,I would have called you.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
132,I had started to worry.,"verb, past tense","verb, past participle","verb, base form",,,,,,,,,past perfect
133,I should have gone with you.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
134,I should have studied more for my test.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,for,,,,,past perfect
135,I should have read the directions.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
136,I should have eaten breakfast this morning.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,this,,,,,past perfect
137,I should have listened to your advice.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
138,I should have married her.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
139,I shall leave tomorrow.,"verb, modal auxiliary","verb, base form",,,,,tomorrow,,,,,future simple
140,I shall finish the job next week.,"verb, modal auxiliary","verb, base form",,,,,next,week,,,,future simple
141,I shall see it tomorrow.,"verb, modal auxiliary","verb, base form",,,,,tomorrow,,,,,future simple
142,I shall go outside.,"verb, modal auxiliary","verb, base form",,,,,,,,,,future simple
143,I shall pay for this later.,"verb, modal auxiliary","verb, base form",,,,,for,this,,,,future simple
144,She could have gone to any college.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
145,I would have gone to the party.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
146,He should have told the truth.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
147,I could have gone directly to college.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
148,I would have loaned you the money.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
149,I would have made a salad.,"verb, modal auxiliary","verb, base form","verb, past participle",,,,,,,,,past perfect
150,I would never know real love.,"verb, modal auxiliary","verb, base form",,,,,never,,,,,past perfect
151,My husband is singing.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
152,I'm typing.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
153,Our friends are eating dinner at home tonight.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
154,I'm studying English..,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
155,Our daughter is coming to visit us next Tuesday.,"verb, 3rd person singular present","verb, gerund or present participle","verb, base form",,,,next,,,,,future simple
156,Her bus leaves at 6:00 Tuesday morning.,"verb, 3rd person singular present",,,,,,,,,,,future simple
157,I’m turning in my History assignment tomorrow morning.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,tomorrow,,,,,future simple
158,"John will call her tomorrow, won’t he?","verb, modal auxiliary","verb, base form",,,,,tomorrow,,,,,future simple
159,"All those girls will be sitting quietly, won’t they?","verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,,,,,,future simple
160,"You’re coming over tonight, aren’t you?","verb, gerund or present participle","verb, non-3rd person singular present",,,,,,,,,,future simple
161,"That bee is going to sting me, isn’t it?","verb, 3rd person singular present","verb, gerund or present participle","verb, gerund or present participle","verb, 3rd person singular present",,,,,,,,future simple
162,"Carey won’t report me, will she?","verb, base form","verb, modal auxiliary",,,,,,,,,,future simple
163,"The kids aren’t going to play soccer tomorrow, are they?","verb, non-3rd person singular present","verb, gerund or present participle","verb, base form","verb, non-3rd person singular present",,,tomorrow,,,,,future simple
164,"You’re not working tomorrow, are you?","verb, non-3rd person singular present","verb, gerund or present participle","verb, non-3rd person singular present",,,,tomorrow,,,,,future simple
165,She’ll write the e-mail after lunch.,"verb, non-3rd person singular present",,,,,,,,,,,future simple
166,Don’t lift that. You’ll hurt yourself.,"verb, non-3rd person singular present","verb, base form","verb, non-3rd person singular present",,,,,,,,,future simple
167,You dropped your purse. I’ll get it.,"verb, past tense","verb, non-3rd person singular present",,,,,,,,,,future simple
168,I’ll see you tomorrow.,"verb, non-3rd person singular present",,,,,,tomorrow,,,,,future simple
169,You’ll get the answer by post.,"verb, non-3rd person singular present",,,,,,by,,,,,future simple
170,Dan’s going to take the order over to the customer.,"verb, gerund or present participle","verb, base form",,,,,,,,,,future simple
171,The girls are going to sing ‘Amazing Grace’ now.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form",,,,now,,,,,future simple
172,I’ll drive you to your lesson at 4 pm.,"verb, non-3rd person singular present",,,,,,,,,,,future simple
173,He is going to clean up his room tonight.,"verb, 3rd person singular present","verb, gerund or present participle","verb, base form",,,,,,,,,future simple
174,Don’t phone me before 12:00. I will be meeting with a client.,"verb, non-3rd person singular present","verb, base form","verb, modal auxiliary","verb, base form","verb, gerund or present participle",,before,,,,,future simple
175,"This time next year, we will be living in our new home.","verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,time,next,year,,,future simple
176,He will be receiving his M.A. degree at the ceremony next week.,"verb, modal auxiliary","verb, base form","verb, gerund or present participle",,,,next,week,,,,future simple
177,Her bus leaves at 6:00 Tuesday morning.,"verb, 3rd person singular present",,,,,,,,,,,future simple
178,The sun sets in the west.,"verb, 3rd person singular present",,,,,,,,,,,present simple
179,We produce lasers for cosmetic surgery.,"verb, non-3rd person singular present",,,,,,for,,,,,present simple
180,They move into their new home next week.,"verb, non-3rd person singular present",,,,,,next,week,,,,present simple
181,"So, I go to Mr. D and say “I deserve a better mark in this class”.","verb, non-3rd person singular present","verb, base form","verb, non-3rd person singular present",,,,this,,,,,present simple
182,Jones stops in mid-court and passes the ball to Schuster.,"verb, 3rd person singular present","verb, 3rd person singular present",,,,,,,,,,present simple
183,I always study hard for exams.,"verb, non-3rd person singular present",,,,,,always,for,,,,present simple
184,Do you usually speak to him like that?,"verb, non-3rd person singular present","verb, base form",,,,,usually,,,,,present simple
185,Ben goes to football practice every Tuesday.,"verb, 3rd person singular present",,,,,,every,,,,,present simple
186,"In general, I believe that all people can live in peace.","verb, non-3rd person singular present","verb, modal auxiliary","verb, base form",,,,general,,,,,present simple
187,you go to the supermarket every week?,"verb, non-3rd person singular present",,,,,,every,week,,,,present simple
188,Generally I go to this pub.,"verb, non-3rd person singular present",,,,,,Generally,this,,,,present simple
189,Generally speaking he goes to work every weekday.,"verb, gerund or present participle","verb, 3rd person singular present",,,,,Generally,every,,,,present simple
190,In general I brush my teeth before I go to bed.,"verb, non-3rd person singular present","verb, non-3rd person singular present",,,,,general,before,,,,present simple
191,In general this is how we do it.,"verb, 3rd person singular present","verb, non-3rd person singular present",,,,,general,this,,,,present simple
192,Generally she sings like this.,"verb, 3rd person singular present",,,,,,Generally,this,,,,present simple
193,Generally I do not afraid dogs.,"verb, non-3rd person singular present",,,,,,Generally,,,,,present simple
194,Generally he do not cry.,"verb, non-3rd person singular present","verb, base form",,,,,Generally,,,,,present simple
195,In generally he stans by her.,"verb, 3rd person singular present",,,,,,generally,by,,,,present simple
196,My love to you is general.,"verb, 3rd person singular present",,,,,,general,,,,,present simple
197,I don’t like the food they serve at that restaurant.,"verb, non-3rd person singular present","verb, non-3rd person singular present",,,,,,,,,,present simple
198,Jim doesn’t work on Fridays.,"verb, 3rd person singular present","verb, base form",,,,,,,,,,present simple
199,My friends don’t usually leave so early.,"verb, non-3rd person singular present","verb, base form",,,,,usually,so,,,,present simple
200,I do not want to go with you!,"verb, non-3rd person singular present","verb, base form","verb, base form",,,,,,,,,present simple
201,He always does good work.,"verb, 3rd person singular present",,,,,,always,,,,,present simple
202,Do you like me?,"verb, non-3rd person singular present","verb, base form",,,,,,,,,,present simple
203,What did they bring you?,"verb, past tense","verb, base form",,,,,,,,,,present simple
204,Do you surf the Internet every day?,"verb, non-3rd person singular present","verb, base form",,,,,every,day,,,,present simple
205,Every day I go to work.,"verb, non-3rd person singular present",,,,,,Every,day,,,,present simple
206,Every day I eat lunch at noon.,"verb, non-3rd person singular present",,,,,,Every,day,,,,present simple
207,Every day I a chapter from my book.,,,,,,,Every,day,,,,present simple
208,Every day I ride my bike to work.,"verb, non-3rd person singular present",,,,,,Every,day,,,,present simple
209,Every night I go to bed early.,"verb, non-3rd person singular present",,,,,,Every,,,,,present simple
210,Every night I brush my teeth before I go to bed.,"verb, non-3rd person singular present","verb, non-3rd person singular present",,,,,Every,before,,,,present simple
211,Every night me and my dauther sing a song.,"verb, non-3rd person singular present",,,,,,Every,,,,,present simple
212,Every monday I work at the shelter.,"verb, non-3rd person singular present",,,,,,Every,,,,,present simple
213,Does Jonathan always turn off the lights?.,"verb, 3rd person singular present","verb, base form",,,,,always,,,,,present simple
214,Don’t you ever clean your room?,"verb, base form","verb, non-3rd person singular present",,,,,ever,,,,,present simple
215,When do you want to meet me?,"verb, non-3rd person singular present","verb, base form","verb, base form",,,,When,,,,,present simple
216,Why does Beth always complain so much?,"verb, 3rd person singular present","verb, base form",,,,,always,so,,,,present simple
217,How much does the ticket cost?,"verb, 3rd person singular present",,,,,,,,,,,present simple
218,Why don’t you ever go on vacation?,"verb, non-3rd person singular present","verb, non-3rd person singular present",,,,,ever,,,,,present simple
219,"John likes me, doesn’t he?","verb, 3rd person singular present","verb, 3rd person singular present",,,,,,,,,,present simple
220,All those girls speak French,"verb, non-3rd person singular present",,,,,,,,,,,present simple
221,We are discussing the project at the moment.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,moment,,,,,present progressive
222,Jim is leaving for Brussels this evening.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,for,this,evening,,,present progressive
223,Her husband is always complaining about his health.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,always,,,,,present progressive
224,You are not going out tonight!,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
225,I’m not listening to you.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
226,Roger isn’t eating with us tonight.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
227,The Smiths aren’t going to France this year. They’re going to Thailand.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, non-3rd person singular present","verb, gerund or present participle",,,this,year,,,,present progressive
228,He is not coming with me dressed like that!,"verb, 3rd person singular present","verb, gerund or present participle",,,,,,,,,,present progressive
229,Are you participating in the competition next week?,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,next,week,,,,present progressive
230,Which route are you taking to the conference this week?,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,this,week,,,,present progressive
231,Latika‘s not working at IBM anymore.,"verb, gerund or present participle",,,,,,anymore,,,,,present progressive
232,Joyce isn’t playing in today’s tournament.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,today,,,,,present progressive
233,We are eating with my parents this evening.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,this,evening,,,,present progressive
234,She is going home this evening.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,this,evening,,,,present progressive
235,She is going home this afternoon.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,this,afternoon,,,,present progressive
236,We are going to see the lions this week.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form",,,,this,week,,,,present progressive
237,There is a huge festival in town this week.,"verb, 3rd person singular present",,,,,,this,week,,,,present progressive
238,We will go to a picnic this weekend.,"verb, modal auxiliary","verb, base form",,,,,this,weekend,,,,present progressive
239,I am studying to become a lawyer this year.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, base form",,,,this,year,,,,present progressive
240,I am reading a book right now.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,right,now,,,,present progressive
241,We are learning English now.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,now,,,,,present progressive
242,We're watching TV right now.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,right,now,,,,present progressive
243,At present my father is working abroad.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,present,,,,,present progressive
244,He is presently studying in Istanbul.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,presently,,,,,present progressive
245,We're using my old computer for the time being.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, gerund or present participle",,,,for,time,being,,,present progressive
246,I am reading a book for the time being.,"verb, non-3rd person singular present","verb, gerund or present participle","verb, gerund or present participle",,,,for,time,being,,,present progressive
247,She is working at bank for the time being.,"verb, 3rd person singular present","verb, gerund or present participle","verb, gerund or present participle",,,,for,time,being,,,present progressive
248,He is okay for the time being.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,for,time,being,,,present progressive
249,We are on our way for the time being.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,for,time,being,,,present progressive
250,The Director is currently having talks in the USA,"verb, 3rd person singular present","verb, gerund or present participle",,,,,currently,,,,,present progressive
251,We are currently on this project.,"verb, non-3rd person singular present",,,,,,currently,this,,,,present progressive
252,We are currently watching a movie.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,currently,,,,,present progressive
253,We are currently eating a pizza.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,currently,,,,,present progressive
254,We are currently running a restauran.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,currently,,,,,present progressive
255,She's not waiting here at the moment.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,moment,,,,,present progressive
256,She is not waiting here at the moment.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,moment,,,,,present progressive
257,Charles is taking three courses this year.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,this,year,,,,present progressive
258,Charles is taking three courses this term.,"verb, 3rd person singular present","verb, gerund or present participle",,,,,this,,,,,present progressive
259,Car prices are getting higher nowadays.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,nowadays,,,,,present progressive
260,Car prices are getting higher these days.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,these,days,,,,present progressive
261,I am not going to the party tonight.,"verb, non-3rd person singular present","verb, gerund or present participle",,,,,tonight,,,,,future simple
262,Is he visiting his parents next weekend?,"verb, 3rd person singular present","verb, gerund or present participle",,,,,next,weekend,,,,future simple
