word,tag
trait,TOEFL
underscore,TOEFL
conscientious,TOEFL
convey,TOEFL
encompass,TOEFL
expansion,TOEFL
heighten,TOEFL
highlight,TOEFL
inadvertently,TOEFL
inevitable,TOEFL
infancy,TOEFL
mimic,TOEFL
retrieve,TOEFL
paramount,TOEFL
proficient,TOEFL
systematically,TOEFL
unlikely,TOEFL
unwarranted,TOEFL
zenith,TOEFL
agitate,TOEFL
comply,TOEFL
confidential,TOEFL
delighted,TOEFL
discreetly,TOEFL
documented,TOEFL
evoke,TOEFL
gradually,TOEFL
impartial,TOEFL
inordinate,TOEFL
instantly,TOEFL
intentionally,TOEFL
intrinsic,TOEFL
inundate,TOEFL
mindset,TOEFL
nominal,TOEFL
presumably,TOEFL
absurd,TOEFL
allocation,TOEFL
balanced,TOEFL
comeacross,TOEFL
culminate,TOEFL
demeanor,TOEFL
exert,TOEFL
fallacious,TOEFL
feasible,TOEFL
lack,TOEFL
limber,TOEFL
means,TOEFL
narrow,TOEFL
preconception,TOEFL
robust,TOEFL
steady,TOEFL
swift,TOEFL
antiquated,TOEFL
coherent,TOEFL
evolve,TOEFL
fabricate,TOEFL
generic,TOEFL
investigation,TOEFL
normally,TOEFL
notion,TOEFL
novel,TOEFL
nurture,TOEFL
opposition,TOEFL
relate,TOEFL
suspect,TOEFL
transform,TOEFL
trigger,TOEFL
unbiased,TOEFL
varied,TOEFL
accentuate,TOEFL
devise,TOEFL
disguise,TOEFL
ignite,TOEFL
indifferent,TOEFL
initiate,TOEFL
innovative,TOEFL
narrate,TOEFL
nevertheless,TOEFL
obsolete,TOEFL
omit,TOEFL
outlandish,TOEFL
overcome,TOEFL
partially,TOEFL
pass,TOEFL
portray,TOEFL
streamline,TOEFL
decline,TOEFL
gather,TOEFL
motion,TOEFL
outburst,TOEFL
partisan,TOEFL
pattern,TOEFL
phenomena,TOEFL
philanthropic,TOEFL
placid,TOEFL
plentiful,TOEFL
reaction,TOEFL
rhythm,TOEFL
scenic,TOEFL
shallow,TOEFL
sheltered,TOEFL
vanishing,TOEFL
account,TOEFL
archaic,TOEFL
bringabout,TOEFL
enlighten,TOEFL
hasten,TOEFL
hue,TOEFL
inactive,TOEFL
intricate,TOEFL
magnitude,TOEFL
oblige,TOEFL
overlook,TOEFL
poll,TOEFL
practical,TOEFL
predominant,TOEFL
prompt,TOEFL
provoke,TOEFL
analogous,TOEFL
approximately,TOEFL
compel,TOEFL
compile,TOEFL
formidable,TOEFL
intrusive,TOEFL
periodic,TOEFL
prone,TOEFL
prophetic,TOEFL
proportions,TOEFL
readily,TOEFL
reliably,TOEFL
reluctantly,TOEFL
renown,TOEFL
revive,TOEFL
triumph,TOEFL
affordable,TOEFL
contaminated,TOEFL
discernible,TOEFL
flourishing,TOEFL
maintain,TOEFL
mediocre,TOEFL
negligible,TOEFL
parallel,TOEFL
peculiar,TOEFL
potent,TOEFL
remarkable,TOEFL
scattered,TOEFL
solid,TOEFL
somewhat,TOEFL
stemfrom,TOEFL
tedious,TOEFL
briefly,TOEFL
circulate,TOEFL
consistently,TOEFL
exhibit,TOEFL
found,TOEFL
improperly,TOEFL
impulsively,TOEFL
infrequently,TOEFL
isolated,TOEFL
overtly,TOEFL
profoundly,TOEFL
sharply,TOEFL
situated,TOEFL
subsequently,TOEFL
unmistakable,TOEFL
upstanding,TOEFL
chaotic,TOEFL
controversial,TOEFL
exemplify,TOEFL
factorin,TOEFL
gratifying,TOEFL
interpret,TOEFL
launch,TOEFL
legitimate,TOEFL
lethargy,TOEFL
particular,TOEFL
radiant,TOEFL
ridge,TOEFL
span,TOEFL
spontaneous,TOEFL
stream,TOEFL
striking,TOEFL
aptly,TOEFL
demonstration,TOEFL
ingredients,TOEFL
involuntarily,TOEFL
marvel,TOEFL
moderate,TOEFL
motivate,TOEFL
odd,TOEFL
profuse,TOEFL
reflection,TOEFL
succinct,TOEFL
supposedly,TOEFL
sustained,TOEFL
symbols,TOEFL
synthesis,TOEFL
tangible,TOEFL
aggravating,TOEFL
amusement,TOEFL
conceivably,TOEFL
convert,TOEFL
curative,TOEFL
debilitating,TOEFL
deplete,TOEFL
finite,TOEFL
perceive,TOEFL
security,TOEFL
takeon,TOEFL
toxic,TOEFL
tranquility,TOEFL
trap,TOEFL
undeniably,TOEFL
underestimated,TOEFL
acknowledge,TOEFL
acquire,TOEFL
assimilate,TOEFL
assortment,TOEFL
caliber,TOEFL
condensed,TOEFL
contradictory,TOEFL
disregard,TOEFL
precious,TOEFL
prominent,TOEFL
requisite,TOEFL
stable,TOEFL
unravel,TOEFL
vague,TOEFL
vast,TOEFL
volume,TOEFL
charisma,TOEFL
clever,TOEFL
convince,TOEFL
endure,TOEFL
forfeit,TOEFL
precarious,TOEFL
severe,TOEFL
sporadic,TOEFL
superior,TOEFL
truncate,TOEFL
wanton,TOEFL
weak,TOEFL
widespread,TOEFL
wisdom,TOEFL
witticism,TOEFL
woo,TOEFL
afford,TOEFL
annually,TOEFL
ascribe,TOEFL
imprint,TOEFL
apace with,TOEFL
cradle,TOEFL
undoubtedly,TOEFL
cunning,TOEFL
levy,TOEFL
barrier,TOEFL
beverage,TOEFL
brag,TOEFL
breed,TOEFL
speculator,TOEFL
propel,TOEFL
auction,TOEFL
cognizant,TOEFL
cohesive,TOEFL
warp,TOEFL
discharge,TOEFL
alert,TOEFL
chamber,TOEFL
claw,TOEFL
appeal,TOEFL
bind,TOEFL
sway,TOEFL
beneficial,TOEFL
allude,TOEFL
appreciation,TOEFL
barren,TOEFL
daring,TOEFL
depress,TOEFL
disaster,TOEFL
domain,TOEFL
decipher,TOEFL
ascend,TOEFL
avid,TOEFL
restrict,TOEFL
roughly,TOEFL
spark,TOEFL
devastate,TOEFL
effect,TOEFL
end,TOEFL
toll,TOEFL
warrant,TOEFL
phase,TOEFL
fragrance cf. fragrant,TOEFL
vertical,TOEFL
exhilarating,TOEFL
determine,TOEFL
dissenting,TOEFL
edible,TOEFL
confine,TOEFL
fasten,TOEFL
raze,TOEFL
annihilate,TOEFL
clumsy,TOEFL
demise,TOEFL
outlaw,TOEFL
enable,TOEFL
ignorant,TOEFL
transportation,TOEFL
behold,TOEFL
mobility cf. mobile,TOEFL
moreover,TOEFL
chore,TOEFL
engage in,TOEFL
exclusive,TOEFL
prosper,TOEFL
sluggish,TOEFL
sound,TOEFL
ware,TOEFL
pervasive,TOEFL
formulate,TOEFL
incorporate,TOEFL
strand,TOEFL
cell,TOEFL
flourish,TOEFL
frigid,TOEFL
instance,TOEFL
gap,TOEFL
fuse,TOEFL
erect,TOEFL
rectangular,TOEFL
unify,TOEFL
aquatic,TOEFL
efficient,TOEFL
habitat,TOEFL
implication,TOEFL
accompany,TOEFL
dexterous,TOEFL
prevent,TOEFL
unrestricted cf. restrict,TOEFL
administer,TOEFL
migrate,TOEFL
funeral,TOEFL
precipitous,TOEFL
confront,TOEFL
transition,TOEFL
virtually,TOEFL
courteously,TOEFL
seasoned,TOEFL
soar,TOEFL
extraordinary,TOEFL
minute,TOEFL
cross-sectional,TOEFL
spike,TOEFL
literally,TOEFL
merely,TOEFL
random,TOEFL
rear,TOEFL
recruit,TOEFL
refuge cf. refugee,TOEFL
spawn,TOEFL
subsequent,TOEFL
stiffen cf. stiff,TOEFL
borough,TOEFL
obligate,TOEFL
extinction,TOEFL
menace,TOEFL
innate,TOEFL
record,TOEFL
seize,TOEFL
concrete,TOEFL
provisional,TOEFL
traverse,TOEFL
boost,TOEFL
employ,TOEFL
expose,TOEFL
favored cf. favor,TOEFL
stem from,TOEFL
commerce,TOEFL
savage,TOEFL
sleek,TOEFL
recession,TOEFL
tranquil,TOEFL
stock,TOEFL
verge cf. on the verge of,TOEFL
denounce,TOEFL
optical,TOEFL
panel,TOEFL
perseverance,TOEFL
self-consistent,TOEFL
scarce,TOEFL
assure,TOEFL
concede,TOEFL
principal,TOEFL
puncture,TOEFL
folly,TOEFL
regardless of,TOEFL
renovation,TOEFL
centripetal,TOEFL
compete,TOEFL
perch,TOEFL
conversion,TOEFL
oral,TOEFL
peak,TOEFL
initially,TOEFL
scope,TOEFL
tenuous,TOEFL
staunch,TOEFL
oversee,TOEFL
mercy,TOEFL
commodity,TOEFL
monetary,TOEFL
furnace,TOEFL
prolific,TOEFL
routine,TOEFL
monotonous,TOEFL
posture,TOEFL
outline,TOEFL
interchangeable,TOEFL
mutual,TOEFL
latent,TOEFL
ooze,TOEFL
herbivore,TOEFL
hostile,TOEFL
crawl,TOEFL
picturesque,TOEFL
predecessor,TOEFL
recommendation,TOEFL
convivial,TOEFL
pursue,TOEFL
raid,TOEFL
wary,TOEFL
exposure cf. expose,TOEFL
vanish,TOEFL
longing cf. long for,TOEFL
meteoric cf. meteor,TOEFL
coerce,TOEFL
conquer,TOEFL
consume,TOEFL
dispute,TOEFL
expendable cf. expend,TOEFL
insurance,TOEFL
kinfolk,TOEFL
lucrative,TOEFL
appraise,TOEFL
out-of-date,TOEFL
barn,TOEFL
penetrate,TOEFL
preliminary,TOEFL
gravitation,TOEFL
horizontal,TOEFL
induce,TOEFL
injection,TOEFL
courtship,TOEFL
combine,TOEFL
projection,TOEFL
meager,TOEFL
mural,TOEFL
deck,TOEFL
ultimately,TOEFL
rare,TOEFL
ecosystem,TOEFL
fragile,TOEFL
grueling,TOEFL
fixture cf. fix,TOEFL
hollow,TOEFL
intent,TOEFL
subterranean,TOEFL
be derived from,TOEFL
besides,TOEFL
blend,TOEFL
prudent,TOEFL
raw,TOEFL
cling (to),TOEFL
domesticate,TOEFL
eager,TOEFL
reconstruction,TOEFL
entrepreneur,TOEFL
bust,TOEFL
buttress,TOEFL
candidate,TOEFL
cushion,TOEFL
bewildering,TOEFL
quantify,TOEFL
refrigerate,TOEFL
condense,TOEFL
constituent,TOEFL
diffuse,TOEFL
friction,TOEFL
outlook,TOEFL
inviting,TOEFL
loop,TOEFL
magnificent,TOEFL
draw on,TOEFL
cosmic,TOEFL
drastically,TOEFL
bleak,TOEFL
enthusiasm,TOEFL
eradicate,TOEFL
trend,TOEFL
progressive,TOEFL
crisscross,TOEFL
attain,TOEFL
surmise,TOEFL
prior,TOEFL
output,TOEFL
capacity,TOEFL
cohesion,TOEFL
colossal,TOEFL
cramped,TOEFL
defunct,TOEFL
atmosphere,TOEFL
axis,TOEFL
bypass,TOEFL
related,TOEFL
capsize,TOEFL
abrasion,TOEFL
atom,TOEFL
aurora,TOEFL
harmonize,TOEFL
intimacy,TOEFL
impetus,TOEFL
edifice,TOEFL
foliage,TOEFL
bark,TOEFL
emission cf. emit,TOEFL
encroach (on),TOEFL
fort,TOEFL
imposing,TOEFL
retract,TOEFL
apparent,TOEFL
unearth,TOEFL
utmost,TOEFL
luster,TOEFL
ornate,TOEFL
wage,TOEFL
communal,TOEFL
boom,TOEFL
ploy,TOEFL
follow suit,TOEFL
foment,TOEFL
implement,TOEFL
jolt,TOEFL
altogether,TOEFL
fickle,TOEFL
celestial,TOEFL
staggering,TOEFL
contradict,TOEFL
crater,TOEFL
retreat,TOEFL
interstitial,TOEFL
misconception,TOEFL
granular,TOEFL
commission,TOEFL
engage,TOEFL
frenetic,TOEFL
hurl,TOEFL
suspension,TOEFL
fringe,TOEFL
germinate,TOEFL
hack,TOEFL
veil,TOEFL
worldly,TOEFL
relent cf. relentlessly,TOEFL
sanitation,TOEFL
scorch,TOEFL
stalk,TOEFL
stringent,TOEFL
subjugate,TOEFL
lavish,TOEFL
yield,TOEFL
allot,TOEFL
discriminate,TOEFL
lull,TOEFL
lure,TOEFL
mason,TOEFL
merger,TOEFL
mint,TOEFL
ratify,TOEFL
descend,TOEFL
inexorable,TOEFL
docket,TOEFL
commence,TOEFL
entity,TOEFL
extract,TOEFL
intense,TOEFL
plate,TOEFL
adjoin,TOEFL
cluster,TOEFL
lug,TOEFL
sumptuous,TOEFL
motif,TOEFL
aerial,TOEFL
mar,TOEFL
pneumatic,TOEFL
paucity,TOEFL
maritime,TOEFL
jolly,TOEFL
shun,TOEFL
envision,TOEFL
depict,TOEFL
tremendously,TOEFL
vocalize,TOEFL
puzzling,TOEFL
preach,TOEFL
abound,TOEFL
pastoral,TOEFL
plush,TOEFL
shrewd,TOEFL
stabilize,TOEFL
rejuvenate,TOEFL
vying cf. vie,TOEFL
precipitation,TOEFL
rim,TOEFL
incinerate,TOEFL
inhospitable,TOEFL
intensity,TOEFL
lethal,TOEFL
ambient,TOEFL
acidic,TOEFL
reorient cf. orient,TOEFL
deciduous,TOEFL
expedient,TOEFL
stake,TOEFL
replenish,TOEFL
sanctuary,TOEFL
sedentary,TOEFL
subsidize,TOEFL
utter,TOEFL
article,TOEFL
convergence,TOEFL
hilarious,TOEFL
jester,TOEFL
puppet,TOEFL
memoir,TOEFL
obscenity cf. obscene,TOEFL
pivotal,TOEFL
barter,TOEFL
lay off,TOEFL
reprieve,TOEFL
juggernaut,TOEFL
per capita,TOEFL
frivolous,TOEFL
consistent,TOEFL
hexagonal cf. hexagon,TOEFL
torrential,TOEFL
luminous,TOEFL
spiral,TOEFL
tentacle,TOEFL
sinuous,TOEFL
rupture,TOEFL
tension,TOEFL
translucent,TOEFL
ledge,TOEFL
tendon,TOEFL
electron,TOEFL
scaffolding,TOEFL
terrestrial,TOEFL
thwart,TOEFL
parched,TOEFL
saline,TOEFL
cardinal,TOEFL
hiss,TOEFL
luminosity,TOEFL
lurid,TOEFL
choreography,TOEFL
punctuality,TOEFL
babble,TOEFL
cliché,TOEFL
spearhead,TOEFL
haul,TOEFL
arithmetic,TOEFL
encyclopedia,TOEFL
protocol,TOEFL
hinge on,TOEFL
lathe,TOEFL
subsist,TOEFL
heading,TOEFL
concentric,TOEFL
wisp,TOEFL
eclipse,TOEFL
skewed,TOEFL
constellation,TOEFL
tributary,TOEFL
velocity,TOEFL
refraction,TOEFL
narcotic,TOEFL
thaw,TOEFL
crooked,TOEFL
hoist,TOEFL
opulent,TOEFL
barge,TOEFL
peg,TOEFL
canal,TOEFL
vindicate,TOEFL
roam,TOEFL
footage,TOEFL
chisel,TOEFL
snide,TOEFL
intonation,TOEFL
vowel,TOEFL
stationary,TOEFL
surge,TOEFL
salvage,TOEFL
hinterland,TOEFL
premise,TOEFL
consensus,TOEFL
sweatshop,TOEFL
depression,TOEFL
tariff,TOEFL
microcosm,TOEFL
surplus,TOEFL
embargo,TOEFL
tilt,TOEFL
nebula,TOEFL
tug,TOEFL
elliptical,TOEFL
plasma,TOEFL
diffraction,TOEFL
spell,TOEFL
imprinting,TOEFL
gill,TOEFL
vicinity,TOEFL
feasibility cf. feasible,TOEFL
arch,TOEFL
divergence,TOEFL
topography,TOEFL
order,TOEFL
environmentally-kind,TOEFL
adrenal,TOEFL
cardiac,TOEFL
